GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSEC,SDSECA,SDUNIA,PUMA5A,NAME_E,RLAE001,RLAE002,RLAE003,RLAE004,RLAE005,RLAE006,RLAE007,RLAE008,RLAE009,RLAE010,NAME_M,RLAM001,RLAM002,RLAM003,RLAM004,RLAM005,RLAM006,RLAM007,RLAM008,RLAM009,RLAM010
G25001710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Acton-Boxborough School District,1710,,,"Acton-Boxborough School District, Massachusetts",25878,20856,336,34,3904,0,230,518,113,405,"Acton-Boxborough School District, Massachusetts",42,552,160,27,479,127,134,192,99,172
G25001920,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Amherst-Pelham School District,1920,,,"Amherst-Pelham School District, Massachusetts",41163,33684,1815,116,3434,0,1033,1081,246,835,"Amherst-Pelham School District, Massachusetts",329,621,285,68,429,127,335,243,142,204
G25002580,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Berlin-Boylston School District,2580,,,"Berlin-Boylston School District, Massachusetts",7160,6869,20,5,152,5,27,82,12,70,"Berlin-Boylston School District, Massachusetts",24,145,30,11,105,12,38,53,14,51
G25003870,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Concord-Carlisle School District,3870,,,"Concord-Carlisle School District, Massachusetts",22383,20421,663,19,794,0,119,367,15,352,"Concord-Carlisle School District, Massachusetts",26,406,117,22,320,127,100,168,26,162
G25004290,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Dover-Sherborn School District,4290,,,"Dover-Sherborn School District, Massachusetts",9893,9100,11,0,493,0,105,184,16,168,"Dover-Sherborn School District, Massachusetts",43,260,20,127,190,127,117,99,25,97
G25004560,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Nauset School District,4560,,,"Nauset School District, Massachusetts",24870,24197,137,25,227,0,67,217,0,217,"Nauset School District, Massachusetts",334,433,111,40,171,127,54,165,127,165
G25005070,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Freetown-Lakeville School District,5070,,,"Freetown-Lakeville School District, Massachusetts",19473,18553,430,24,131,0,189,146,27,119,"Freetown-Lakeville School District, Massachusetts",34,454,350,33,179,127,142,104,42,97
G25005100,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Frontier School District,5100,,,"Frontier School District, Massachusetts",12005,11299,52,37,257,0,99,261,39,222,"Frontier School District, Massachusetts",266,298,41,44,140,127,66,108,44,93
G25005740,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Hampshire School District,5740,,,"Hampshire School District, Massachusetts",12382,12176,61,10,43,0,48,44,17,27,"Hampshire School District, Massachusetts",261,264,67,12,39,127,57,29,16,25
G25006510,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,King Philip School District,6510,,,"King Philip School District, Massachusetts",30241,28080,993,38,342,3,436,349,45,304,"King Philip School District, Massachusetts",57,527,351,37,186,3,151,263,36,262
G25006930,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Lincoln-Sudbury School District,6930,,,"Lincoln-Sudbury School District, Massachusetts",25541,22843,359,0,1457,0,329,553,21,532,"Lincoln-Sudbury School District, Massachusetts",39,376,259,127,231,127,205,217,25,219
G25007380,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Martha's Vineyard School District,7380,,,"Martha's Vineyard School District, Massachusetts",15519,13485,578,306,49,0,807,294,46,248,"Martha's Vineyard School District, Massachusetts",68,534,167,70,55,127,522,128,57,116
G25007410,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Masconomet School District,7410,,,"Masconomet School District, Massachusetts",23229,22038,125,64,362,0,499,141,17,124,"Masconomet School District, Massachusetts",20,291,69,58,166,127,197,113,23,110
G25008160,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mount Greylock School District,8160,,,"Mount Greylock School District, Massachusetts",11227,10176,197,13,664,0,83,94,0,94,"Mount Greylock School District, Massachusetts",63,321,137,19,239,127,77,83,127,83
G25008910,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Northborough-Southborough School District,8910,,,"Northborough-Southborough School District, Massachusetts",24413,21828,160,17,1828,0,315,265,22,243,"Northborough-Southborough School District, Massachusetts",32,379,114,19,336,127,157,108,24,106
G25009150,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Old Rochester School District,9150,,,"Old Rochester School District, Massachusetts",16846,16057,209,23,198,0,162,197,156,41,"Old Rochester School District, Massachusetts",31,295,222,39,172,127,95,97,93,45
G25009900,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Ralph C. Mahar School District,9900,,,"Ralph C. Mahar School District, Massachusetts",10743,10386,90,14,61,0,32,160,51,109,"Ralph C. Mahar School District, Massachusetts",322,327,51,20,43,127,28,100,58,82
G25010830,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Silver Lake School District,10830,,,"Silver Lake School District, Massachusetts",22849,21922,57,164,273,17,94,322,83,239,"Silver Lake School District, Massachusetts",46,370,86,171,244,27,81,156,75,135
G25011490,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Tantasqua School District,11490,,,"Tantasqua School District, Massachusetts",20741,20040,39,32,351,0,31,248,9,239,"Tantasqua School District, Massachusetts",240,343,35,25,196,127,36,149,15,147
G25022222,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mohawk Trail Regional School District in Hawley and Charlemont towns,22222,,,"Mohawk Trail Regional School District in Hawley and Charlemont towns, Massachusetts",1518,1443,24,16,18,0,9,8,0,8,"Mohawk Trail Regional School District in Hawley and Charlemont towns, Massachusetts",142,146,21,18,25,127,11,9,127,9
G25025001,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Somerset School District in Berkley (9-12),25001,,,"Somerset School District in Berkley (9-12), Massachusetts",6409,6260,57,0,36,0,19,37,0,37,"Somerset School District in Berkley (9-12), Massachusetts",20,119,67,127,33,127,30,44,127,44
G25025002,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,North Adams School District in Clarksburg (9-12),25002,,,"North Adams School District in Clarksburg (9-12), Massachusetts",1893,1861,9,4,0,0,0,19,0,19,"North Adams School District in Clarksburg (9-12), Massachusetts",141,143,15,6,127,127,127,23,127,23
G25025003,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Gill-Montague School District in Erving (7-12),25003,,,"Gill-Montague School District in Erving (7-12), Massachusetts",1863,1786,0,0,12,0,21,44,0,44,"Gill-Montague School District in Erving (7-12), Massachusetts",184,182,127,127,20,127,22,24,127,24
G25025004,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Southwick-Tolland School District in Granville (9-12),25004,,,"Southwick-Tolland School District in Granville (9-12), Massachusetts",1659,1613,0,7,8,0,8,23,0,23,"Southwick-Tolland School District in Granville (9-12), Massachusetts",157,151,127,10,8,127,10,24,127,24
G25025005,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Swampscott School District in Nahant (7-12),25005,,,"Swampscott School District in Nahant (7-12), Massachusetts",3602,3511,11,0,35,0,34,11,0,11,"Swampscott School District in Nahant (7-12), Massachusetts",20,82,20,127,61,127,31,19,127,19
G25025006,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Pittsfield School District in Richmond (9-12),25006,,,"Pittsfield School District in Richmond (9-12), Massachusetts",1838,1819,0,9,0,0,0,10,0,10,"Pittsfield School District in Richmond (9-12), Massachusetts",158,158,127,14,127,127,127,11,127,11
G25025007,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mohawk Trail School District in Rowe (7-12),25007,,,"Mohawk Trail School District in Rowe (7-12), Massachusetts",418,400,0,0,0,0,0,18,0,18,"Mohawk Trail School District in Rowe (7-12), Massachusetts",55,51,127,127,127,127,127,19,127,19
G25025008,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Adams-Cheshire School District in Savoy (7-12),25008,,,"Adams-Cheshire School District in Savoy (7-12), Massachusetts",763,753,0,0,0,0,0,10,10,0,"Adams-Cheshire School District in Savoy (7-12), Massachusetts",105,107,127,127,127,127,127,14,14,127
G25025009,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,North Adams School District in Florida (9-12),25009,,,"North Adams School District in Florida (9-12), Massachusetts",822,759,57,0,0,0,0,6,0,6,"North Adams School District in Florida (9-12), Massachusetts",160,135,58,127,127,127,127,8,127,8
G25025010,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Fairhaven/New Bedford School Districts in Acushnet (9-12),25010,,,"Fairhaven/New Bedford School Districts in Acushnet (9-12), Massachusetts",10372,9951,29,23,77,0,106,186,73,113,"Fairhaven/New Bedford School Districts in Acushnet (9-12), Massachusetts",31,189,34,38,70,127,105,138,78,128
G25025011,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Ayer/Lunenberg School Districts in Shirley (9-12),25011,,,"Ayer/Lunenberg School Districts in Shirley (9-12), Massachusetts",7848,6682,554,22,133,0,191,266,0,266,"Ayer/Lunenberg School Districts in Shirley (9-12), Massachusetts",36,266,173,27,85,127,110,176,127,176
G25025012,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Nauset/Provincetown School Districts in Turo (7-12),25012,,,"Nauset/Provincetown School Districts in Turo (7-12), Massachusetts",1938,1938,0,0,0,0,0,0,0,0,"Nauset/Provincetown School Districts in Turo (7-12), Massachusetts",331,331,127,127,127,127,127,127,127,127
G25025013,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mount Greylock/New Lebanon (NY) School Districts in Hancock (7-12),25013,,,"Mount Greylock/New Lebanon (NY) School Districts in Hancock (7-12), Massachusetts",738,738,0,0,0,0,0,0,0,0,"Mount Greylock/New Lebanon (NY) School Districts in Hancock (7-12), Massachusetts",132,132,127,127,127,127,127,127,127,127
G25025014,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,North Adams School District in Monroe (9-12),25014,,,"North Adams School District in Monroe (9-12), Massachusetts",144,144,0,0,0,0,0,0,0,0,"North Adams School District in Monroe (9-12), Massachusetts",74,74,127,127,127,127,127,127,127,127
G25099999,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Remainder of Massachusetts,99999,,,"Remainder of Massachusetts, Massachusetts",6092795,5006806,392151,11789,296808,2321,265947,116973,23304,93669,"Remainder of Massachusetts, Massachusetts",618,5948,3407,999,1868,459,6754,3596,1700,3162
